name;link;salary_min;salary_max;salary_currency
Python Developer (World of Tanks);https://spb.hh.ru/vacancy/47146423?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python Developer (New game product);https://spb.hh.ru/vacancy/49866239?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python Developer (World of Tanks);https://spb.hh.ru/vacancy/47146424?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python Developer (Infrastructure Projects);https://spb.hh.ru/vacancy/50491842?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python разработчик;https://spb.hh.ru/vacancy/49567654?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Senior QA инженер;https://spb.hh.ru/vacancy/47759634?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;;руб.
Аналитик данных;https://spb.hh.ru/vacancy/49548884?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Специалист по тестированию;https://spb.hh.ru/vacancy/40585500?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Senior QA инженер;https://spb.hh.ru/vacancy/49887148?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;;руб.
Senior Data Analyst;https://spb.hh.ru/vacancy/50764801?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Senior QA инженер;https://spb.hh.ru/vacancy/49887150?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;;руб.
Senior QA инженер;https://spb.hh.ru/vacancy/49887149?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;;руб.
Senior QA инженер;https://spb.hh.ru/vacancy/49887151?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;;руб.
Специалист по тестированию в команду Clickme;https://spb.hh.ru/vacancy/48336664?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Senior DevOps Engineer (tech lead);https://spb.hh.ru/vacancy/50770192?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;4000.0;7000.0;USD
Senior QA инженер;https://spb.hh.ru/vacancy/49887152?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;;руб.
Backend Software Engineer (Platform);https://spb.hh.ru/vacancy/50279040?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
QA специалист в команду Биллинга;https://spb.hh.ru/vacancy/47251783?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Data Engineer (New game product);https://spb.hh.ru/vacancy/50244485?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Стажёр-разработчик автоматизированных тестов;https://spb.hh.ru/vacancy/50676531?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python разработчик;https://spb.hh.ru/vacancy/49691234?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;70000.0;;руб.
Python разработчик;https://spb.hh.ru/vacancy/48586207?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;80000.0;150000.0;руб.
Junior Python developer (в Сочи);https://spb.hh.ru/vacancy/47110879?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;65000.0;;руб.
Python developer(Telegram bot);https://spb.hh.ru/vacancy/50642437?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;60000.0;110000.0;руб.
Backend developer (Python);https://spb.hh.ru/vacancy/50608586?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;80000.0;170000.0;руб.
Middle+ разработчик Python / Django (удалённо);https://spb.hh.ru/vacancy/50759093?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;120000.0;160000.0;руб.
Разработчик Python/Django;https://spb.hh.ru/vacancy/50254767?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;120000.0;220000.0;руб.
Python-разработчик;https://spb.hh.ru/vacancy/49397923?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;300000.0;руб.
Специалист по Machine learning;https://spb.hh.ru/vacancy/50652141?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;250000.0;;руб.
Разработчик-Python (Django, DRF);https://spb.hh.ru/vacancy/43242292?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;170000.0;220000.0;руб.
Python Developer в команду Data Science;https://spb.hh.ru/vacancy/50749051?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python разработчик (удаленно);https://spb.hh.ru/vacancy/50221936?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;140000.0;220000.0;руб.
Разработчик Python;https://spb.hh.ru/vacancy/50563570?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;100000.0;200000.0;руб.
Python-разработчик (Django);https://spb.hh.ru/vacancy/50486255?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;300000.0;руб.
Специалист Computer Vision (Senior Data Scientist);https://spb.hh.ru/vacancy/50342075?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;250000.0;350000.0;руб.
Python developer;https://spb.hh.ru/vacancy/50711436?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
DevOps Engineer (Удалённо);https://spb.hh.ru/vacancy/50310605?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;7000.0;10000.0;USD
Программист Python;https://spb.hh.ru/vacancy/50282808?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;120000.0;140000.0;руб.
Python разработчик;https://spb.hh.ru/vacancy/50762432?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Программист Python Junior;https://spb.hh.ru/vacancy/46265638?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;30000.0;50000.0;руб.
Стажер-разработчик бэкенда (Python);https://spb.hh.ru/vacancy/50738001?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Младший программист / Junior Developer in QA;https://spb.hh.ru/vacancy/42015411?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;80000.0;120000.0;руб.
Продуктовый аналитик ​;https://spb.hh.ru/vacancy/50587214?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;175000.0;230000.0;руб.
Python разработчик (Персона);https://spb.hh.ru/vacancy/50731247?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python developer (computer vision backend);https://spb.hh.ru/vacancy/49342079?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;170000.0;250000.0;руб.
Программист Python;https://spb.hh.ru/vacancy/50323840?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;150000.0;200000.0;руб.
Разработчик баз данных / аналитик данных;https://spb.hh.ru/vacancy/50471295?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;300000.0;;руб.
Data Analyst;https://spb.hh.ru/vacancy/49769786?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;220000.0;;руб.
Стажер Big Data Engineer;https://spb.hh.ru/vacancy/50643652?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python developer;https://spb.hh.ru/vacancy/48641191?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python разработчик;https://spb.hh.ru/vacancy/50470690?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;75000.0;;руб.
Python Разработчик;https://spb.hh.ru/vacancy/46766757?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;120000.0;;руб.
Junior+/Middle Python Developer;https://spb.hh.ru/vacancy/50342868?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик (junior-middle);https://spb.hh.ru/vacancy/50709302?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;85000.0;120000.0;руб.
Middle python-разработчик;https://spb.hh.ru/vacancy/50586452?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;150000.0;руб.
Python-developer;https://spb.hh.ru/vacancy/46690324?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;95000.0;180000.0;руб.
Data scientist (Python разработчик / ML инженер);https://spb.hh.ru/vacancy/50756841?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;90000.0;200000.0;руб.
Бэкенд-разработчик (Python) / Middle Python / Python Developer (Remote);https://spb.hh.ru/vacancy/50110805?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;150000.0;220000.0;руб.
Data Collection Specialist (Junior Python Developer);https://spb.hh.ru/vacancy/49783919?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Инженер технической поддержки/Junior Python Developer;https://spb.hh.ru/vacancy/50506957?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик (Python);https://spb.hh.ru/vacancy/40551245?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;100000.0;160000.0;руб.
Стажер-разработчик С++;https://spb.hh.ru/vacancy/50724529?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Стажер по направлению DevOps;https://spb.hh.ru/vacancy/50727702?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
JAVA, C#, Python разработчик (удаленка);https://spb.hh.ru/vacancy/50711156?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;300000.0;руб.
Программист Python;https://spb.hh.ru/vacancy/50711082?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик Python;https://spb.hh.ru/vacancy/47668037?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;30000.0;80000.0;руб.
Разработчик алгоритмов глубокого машинного обучения (ML, нейронные сети);https://spb.hh.ru/vacancy/49588066?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;200000.0;300000.0;руб.
Data scientist;https://spb.hh.ru/vacancy/49747618?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;300000.0;;руб.
Продуктовый аналитик / Data Analyst (junior);https://spb.hh.ru/vacancy/50608627?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python Developer;https://spb.hh.ru/vacancy/42992983?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;2300.0;3100.0;USD
Куратор по Python для детей;https://spb.hh.ru/vacancy/50669324?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;75000.0;200000.0;KZT
Python разработчик / программист Python (Python Developer);https://spb.hh.ru/vacancy/49149466?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;150000.0;;руб.
Python developer/ Разработчик Python/Django (удаленно);https://spb.hh.ru/vacancy/50104055?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Web-программист Python;https://spb.hh.ru/vacancy/50354109?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;30000.0;50000.0;руб.
Python Developer в команду Data Science;https://spb.hh.ru/vacancy/50749053?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик Python (KION);https://spb.hh.ru/vacancy/50766629?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Data Analyst;https://spb.hh.ru/vacancy/49769787?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;220000.0;;руб.
Data Scientist;https://spb.hh.ru/vacancy/50736774?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Junior/Middle Python developer;https://spb.hh.ru/vacancy/50716122?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Python - разработчик;https://spb.hh.ru/vacancy/50672961?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Разработчик на Python;https://spb.hh.ru/vacancy/50749152?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Senior Machine Learning Engineer;https://spb.hh.ru/vacancy/50206290?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;300000.0;400000.0;руб.
Python-разработчик в области AI/ML;https://spb.hh.ru/vacancy/50737144?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;80000.0;150000.0;руб.
Backend-разработчик: Python API;https://spb.hh.ru/vacancy/50703850?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;250000.0;300000.0;руб.
Разработчик Python;https://spb.hh.ru/vacancy/50452376?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;;
Middle C++ and Python Developer;https://spb.hh.ru/vacancy/50560990?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;;220000.0;руб.
Разработчик Python Middle/Senior;https://spb.hh.ru/vacancy/50387434?from=vacancy_search_list&query=Python&hhtmFrom=vacancy_search_list;2000.0;;USD
